作品中文名稱,作品英文名稱,年份,客戶資訊,作品敘述,作品照片檔案名稱
多桑,Abroad Promotion for A Borrowed Life,1994,"Film | Wu Nien-Jen | Client: Long Shong International Co., Ltd.",結繩 ● 礦工父親的臉孔、父親的陰影，父親唯一不變的是..... 記事  ● 以用蔡振南定裝照做出發黃的相片，再給予剪影的輪廓 NOTE● 老式相館的櫥窗擺飾著剪影圖像，它是時間的攝像,poster34.jpg
人親 土親 文化親,"National Festival of Culture and Arts, 1994",1994,"Festival | Client: Council for Cultural Affairs, Executive Yuan",結繩 ● 人親 人土 文化親 ● 文藝季 記事 ● 想像自己是圖像中的小孩，趴臥在地處，聽到遠處來的聲音  NOTE ● 輕輕閉上眼睛，整個心都是圖像,poster35.jpg
好男好女,"Abroad Promotion for Good Men, Good Women",1995,Film | Hou Hsiao Hsien | Client: 3H Films,結繩 ● 三個不同時空交錯兩個時代的故事 記事 ● 好男好女片名 好字裁開是女和子 NOTE● 在剪接室看毛片後.圖像的直覺是一種慌惚，搖晃的,poster36.jpg
國家文化藝術基金會形象,Visual identity for NCAF,1995,Public welfare | Client: National Culture and Arts Foundation,,poster37.jpg
太平天國,Abroad Promotion for Buddha Bless America,1996,"Film | Wu Nien-Jen | Client: Unique Entertainment Co., Ltd.",結繩 ● 田地慘遭美軍坦克蹂躪一景，作為視覺。 記事 ● 參考美軍坦克玩具摸型，手法要刻意很匠 NOTE  ● 細活當然不是舞台，為何不是，難以言明,poster38.jpg
Playboy 國際中文版,Visual identity for Playboy International Publication,1997,Image | Client: Playboy Chinese Edition,結繩 ● 是誰要看?要看什麼?不要這樣搞 !  記事 ● 美國以外有三十多地區不同美術編輯版本，台灣版本另創一種視覺風貌 NOTE ● 帝國就像大象噴出的鼻涕，阻擋不了,poster39.jpg
成吉思汗的夢,Dreams of Genghis Khan,1997,Music | Client: Crystal Records,結繩 ● 傳說蒙古始祖，是由一隻從天而降的蒼狼，與草原上的白鹿結合所生… 記事  ● 元太祖成吉思汗，夢字是蒙古語的書寫 NOTE  馬頭琴幻想曲。在夢中，牠的骨、皮、筋化身為音樂圖像,poster40.jpg
家族合唱,Portrait of The Families,1997,Performance | Client: Cloud Gate Dance Theatre,結繩 ● 歷史從未被遺忘，只是你錯過 ● 千餘張老照片，來自不同的家庭 記事  ● 負片攝像  NOTE  ● 圖像不論是大是小，都會有一段故事,poster41.jpg
1997李名覺舞台設計回顧展,"Sets by Ming Cho Lee, Taiwan, 1997",1997,Exhibition | Client: Cloud Gate Dance Theatre,結繩 ●  1997李名覺舞台設計回顧展在台北展期一個月 記事  ●簽名手跡圖，像似一幅中國水墨，近處寫實，遠處抽象  NOTE  ●  圖像面對大師，只有敬禮,poster42.jpg
台灣美學文件,Visal Identity for Aesthetic Documents Taiwan,1997,Magazine | Client: Aesthetic Taiwan Culture International Ltd.,結繩 ● 在每一年代，總有一些人想要製造出屬於那個時代、那個環境的事件 記事  ● 無人之地 NOTE   ● 畫圈圈如果是一樣的話，那圖像就沒什麼好說了！,poster43.jpg
文化藝術認同卡,Arts VISA Credit Card,1997,Business | Client: National Culture and Art Foundation,結繩 ● 人文風華，明朗化身，春風得意獨有感受 記事  ● 使用者互惠 NOTE ● 圖像是一種非現金交易付款的方式,poster44.jpg
台北販賣,Made in Taipei,1998,Concept | Client: Liu Kai’s Creation and Development,結繩 ● 販賣台北，一個商品概念 記事 ● 每每的商品都有一個烙印的性格● 鉛塊手打摸版 NOTE ● 低調的傳遞台北的質量,poster45.jpg
台北電影節,Symbol Identity for 1998 Taipei Film Festival,1998,Film Festival | Client: Taipai City Government,結繩 ● 第一屆台北電影節，為台北重要文化活動 記事 ● 窺看台北地，貌似魔法巫婆 NOTE ● 漫畫以假借形式，誇飾了圖像意念,poster46.jpg
出賣廣告 非賣不可,The Best Crammed Discs,1998,Music | Client: Crystal Records,結繩 ● 電視廣告音樂合輯 記事 ● 通俗擱有力，四方皆可  NOTE ● 沒有道理的，也是圖像創意,poster47.jpg
水月,Moon Water,1998,Performance | Client: Cloud Gate Dance Theatre,結繩 ● 鏡花水月畢竟總成空 記事 ● 水與身體的接觸，太極與巴哈的交融  NOTE ● 圖像是腦海累積的神奇變化,poster48.jpg
絕不付帳,We Won't Pay! We Won't Pay!,1998,Performance | Stan Lai | Client: Performance Workshop Theatre Taiwan,結繩 ● 瘋狂社會暴動喜劇  記事 無法忍受物價飆漲，誇大主婦挺著大肚子拿著菜刀，絕不付帳 NOTE ● 粗暴圖像說得是一個事件,poster49.jpg
思想起,"Visual Identity for Character Music, Nostalgia",1998,Music | Client: Crystal Records,結繩 ● 思啊思相枝，甘蔗好吃伊嘟雙頭甜..... 記事 ● 台灣味十足的音樂，隨性和隨性組成的鮮艷卜杯 NOTE  ●  醜醜的是美學的養分,poster50.jpg
國家文化藝術基金會形象,Visual Identity for NCAF,1999,Image | Client: National Culture and Arts Foundation,,poster51.jpg
川端康成,Visual Identity for World Literature,1999,Book | Client: Laureate Publishing Company,結繩 ●日本作家，1968獲得諾貝爾文學獎  記事 ● 圖像手法以仿石扳畫做為經典意含 NOTE ● 圖像的行為皆視態度而定,poster52.jpg
新港文教基金會,Hsin Kang Foundation of culture & education,1999,Logo | Client: Hsin Kang Foundation of culture,結繩 ● 老鎮新生，新港的故事 記事 ● 窗牆楺空的新港字體， 庶民藝術靜靜安置在草根鄉里   NOTE ● 圖像說這裡有一股稻米香，你們有沒有聞到？,poster53.jpg
基因23海報,Symbol Identity for Artfuture 2000,2000,Festival | Client: Acer Digital Arts Center,結繩 ● 數位藝術的新紀元，台北 記事 ● 基因突變係指 DNA訊號發生變化   NOTE ● 神話本身就是一種對未來的對話,poster54.jpg
千禧夜，我們說相聲,Millennium Teahouse,2000,Performance | Stan Lai | Client: Performance Workshop Theatre Taiwan,結繩 ● 大師始終沒有出來。劇就此結束 記事 ● 剪紙勾勒三人相聲的段子，一道千禧曙光,poster55.jpg
陳勝在海報,Visual Identity forPerforming Arts Review- Cheng Shenzai,2000,Magazine | Client: Performing Arts Review,結繩 ● 飾演濟公的演員在上裝時後台的一張紀實攝像 記事 ● 攝像倒過來，圖像的張力說話 NOTE  ●在無意中看見另外的一種視角，它有圖像偶發的樂趣,poster56.jpg
看．不見．張照堂,Visal Identity for The 3th National Award for Arts,2000,Book | Client: National Culture and Arts Foundation,結繩 ● 看不見的的攝像  記事  ● 我像瞎子走路，一邊走一邊找到  NOTE ● 大家都在找路，一邊走一邊迷失，一邊找到,poster57.jpg
